набор,баз,сайтов,свежих,дней,зоны,вышли в поиск,поисковых кликов,регистраций,ФД,кликов на регистрацию,ожидалось регистраций,вердикт
NEW33_12pages_withdate+img,17,3500,0,2,team:3294/lol:206,527,31987,7,2,4570,6.5,как ожидалось
archive47_unique119оформленочасть1,40,8240,0,3,team:4120/lol:3296/casino:824,943,18093,6,2,3016,8.8,как ожидалось
Content_script_12page_08.09,11,2266,0,2,lol:1442/team:824,403,25671,6,0,4278,2.1,лучше ожидаемого в 2.9 раза
content-2026-09-14c-12str-oform,4,824,824,2,team:824,278,14474,6,2,2412,0.8,мало данных
archive37строформленоv2часть1,45,9269,0,5,lol:4943/team:2678/buzz:1648,797,18168,5,2,3634,9.1,хуже ожидаемого в 1.8 раза
NEW17_img_withdate,9,1852,0,2,team:1852,333,29810,5,0,5962,3.5,как ожидалось
NEW20_4_12pages_withdate,3,618,0,2,lol:618,144,6447,5,0,1289,0.6,мало данных
content-2026-09-14b-7str-oform-2,51,10505,10505,4,team:7827/lol:2678,1407,26390,4,2,6598,7.6,хуже ожидаемого в 1.9 раза
content-2026-09-15-7str-oform-1,50,10299,10299,3,lol:6386/team:3913,663,8795,4,1,2199,2.4,как ожидалось
content-2026-09-14-7str-oform-9,29,5974,5974,2,team:5150/lol:824,689,9988,4,1,2497,5.7,как ожидалось
content-2026-09-17-7str-oform-2,35,5250,5250,1,lol:3600/team:1650,295,2421,4,0,605,1.1,мало данных
script_yandex_12page,21,4326,504,3,casino:3296/team:824/lol:206,553,11497,4,0,2874,4.0,как ожидалось
NEW50_2_12pages_withdate_02.09,17,3501,0,2,team:2883/lol:618,976,31272,4,0,7818,7.2,как ожидалось
clean12_unique11оформлено,11,2266,0,2,team:1854/lol:412,551,12140,4,1,3035,2.3,как ожидалось
NEW21_12pages_withdate_styled_img,4,824,0,2,casino:824,253,10731,4,1,2683,0.4,мало данных
content-2026-09-15-7str-oform-2,50,10300,10300,2,team:5974/lol:4326,1218,26806,3,1,8935,4.4,как ожидалось
content-2026-09-12-7str-oform-2,41,8446,2446,4,team:5356/lol:3090,825,12916,3,2,4305,4.5,как ожидалось
content-2026-09-12-7str-oform-1,41,8445,2745,4,team:4943/lol:2678/casino:824,768,10174,3,0,3391,4.4,как ожидалось
NEW50_7pages_withdate_01.09,11,2266,0,4,team:1854/lol:412,497,37393,3,1,12464,4.1,как ожидалось
NEW50_3_12pages_nodate_styled,11,2266,0,2,lol:1648/team:618,448,24154,3,0,8051,3.5,как ожидалось
nabory274283,10,2060,0,4,lol:1442/team:618,273,4019,3,1,1340,3.1,как ожидалось
Generator_346353_styled_img,8,1648,0,2,team:1648,247,7198,3,0,2399,1.2,мало данных
Выдача_06.09_12стр,8,1648,0,2,lol:1030/team:618,269,9403,3,0,3134,1.7,мало данных
NEW50_2_7pages_withdate,6,1236,0,2,team:1236,288,9334,3,0,3111,2.5,как ожидалось
NEW20_4_12pages_nodate,6,1236,0,2,team:824/lol:412,265,10401,3,1,3467,1.3,мало данных
NEW20_12pages_nodate_styled_img,4,824,0,2,casino:824,212,13296,3,0,4432,0.6,мало данных
archive37строформленоv2часть2,45,9270,0,2,buzz:5356/lol:3914,689,11404,2,1,5702,8.6,хуже ожидаемого в 4.3 раза
content-2026-09-16-7str,42,8372,8372,2,team:4682/lol:3690,655,8355,2,1,4178,1.7,мало данных
content-2026-09-12-7str-oform-3,39,8034,8034,3,lol:4532/team:3502,512,15772,2,0,7886,2.9,как ожидалось
archive47_unique119оформленочасть2,24,4943,0,3,team:4119/lol:618/casino:206,378,8268,2,0,4134,4.6,хуже ожидаемого в 2.3 раза
content-2026-09-14-12str-oform,16,3296,3296,2,team:2060/lol:1236,495,6233,2,0,3116,1.6,мало данных
nabory411420_styled_img,10,2060,0,2,lol:1030/team:1030,259,6775,2,2,3388,1.4,мало данных
nabory-555-564_styled_img,10,2060,2060,2,lol:1030/team:1030,337,4793,2,0,2396,0.9,мало данных
NEW17_NOimg_withdate,7,1440,0,2,team:1234/lol:206,187,13344,2,0,6672,2.7,как ожидалось
NEW20_12pages_withdate_styled_img,6,1236,0,2,casino:618/team:412/lol:206,253,6766,2,0,3383,0.9,мало данных
nabory421425_styled_img,5,1029,0,2,lol:617/team:412,179,3957,2,1,1978,0.7,мало данных
NEW50_3_7pages_nodate_styled,13,2678,0,2,team:1648/lol:1030,351,4205,1,0,4205,4.2,хуже ожидаемого в 4.2 раза
NEW50_3_7pages_withdate_styled,12,2472,0,2,lol:1854/team:618,388,8189,1,0,8189,3.8,хуже ожидаемого в 3.8 раза
nabory-535-544_styled_img,10,2060,2060,2,lol:1442/team:618,336,8006,1,0,8006,0.9,мало данных
