# Полная выгрузка конверсий 31.08-07.09.2026 — 128 привязанных событий из 133 строк
время;тип;clickid;домен;зона;бренд;гео;движок;группа контента;страниц;даты;день запуска
2026-09-04 17:15;регистрация;dda2c66a495a3e75;2418.team;.team;trix;NL;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-04 16:15;регистрация;9305b7df23e7efb4;pjxu.lol;.lol;maxline;BY;dorgen_engine;nabory274283 · наборы, конфигурация неизвестна;;;02.09
2026-09-04 14:15;регистрация;821ff5a2582b5dd9;9158.team;.team;everum;NO;dorgen_engine;NEW50_3_7pages_withdate_styled;7;с датами;03.09
2026-09-04 13:15;регистрация;d137c2eae64d635c;t2z.team;.team;vodka;FI;dorgen_engine;списка не было;;;?
2026-09-04 13:15;регистрация;f7dd856dcfa8a934;n2c.team;.team;bounty;NL;dorgen_engine;списка не было;;;?
2026-09-04 12:15;регистрация;65a2d913da4d46ff;gwrn.team;.team;dragonmoney;BY;dorgen_engine;списка не было;;;?
2026-09-04 11:15;регистрация;70becd6425531ac8;2853.team;.team;dragonmoney;FI;dorgen_engine;NEW50_3_7pages_nodate_styled;7;без дат;03.09
2026-09-04 11:15;регистрация;29883dcc715a774d;3242.team;.team;leon;DE;dorgen_engine;NEW50_2_7pages_withdate;7;с датами;02.09
2026-09-04 04:15;регистрация;5be7c0c8bac9d2c6;4330.team;.team;slotgames;HK;dorgen_engine;NEW50_3_12pages_withdate_styled;12;с датами;03.09
2026-09-04 04:15;регистрация;e88213153aa8c9d6;2418.team;.team;riobet;GE;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-04 01:22;депозит;dcd2a3710163bd7d;5580.team;.team;goodwin;RU;dorgen_engine;NEW50_7pages_nodate_01.09;7;без дат;02.09
2026-09-04 01:15;регистрация;dcd2a3710163bd7d;5580.team;.team;goodwin;RU;dorgen_engine;NEW50_7pages_nodate_01.09;7;без дат;02.09
2026-09-04 01:15;регистрация;3f566a494700de6b;7395.lol;.lol;legzo;RU;dorgen_engine;NEW50_2_12pages_nodate_02.09;12;без дат;02.09
