корень,день,набор,баз,сайтов,вышли в поиск,выход %,кликов в окне,регистраций,ФД,рег на 100 сайтов,дата,страниц,оформление,картинки,нарезка
NEW50 01.09,2026-09-02,NEW50_7pages_withdate_01.09,6,806,228,28.3,11665,1,1,0.124,с датой,7,,,
NEW50 01.09,2026-09-03,NEW50_7pages_nodate_01.09,14,1536,355,23.1,17363,1,0,0.065,без даты,7,,,
NEW50 01.09,2026-09-03,NEW50_7pages_withdate_01.09,10,1030,162,15.7,4804,1,0,0.097,с датой,7,,,
NEW50 2 02.09,2026-09-02,NEW50_2_12pages_withdate_02.09,17,2550,752,29.5,17390,2,0,0.078,с датой,12,,,
NEW50 2 02.09,2026-09-02,NEW50_2_12pages_nodate_02.09,6,900,264,29.3,5093,4,0,0.444,без даты,12,,,
NEW50 3 styled,2026-09-03,NEW50_3_12pages_withdate_styled,14,2100,546,26.0,18237,7,2,0.333,с датой,12,,,
NEW50 3 styled,2026-09-03,NEW50_3_7pages_nodate_styled,13,1950,266,13.6,2654,1,0,0.051,без даты,7,,,
NEW50 3 styled,2026-09-03,NEW50_3_7pages_withdate_styled,12,1800,301,16.7,5108,1,0,0.056,с датой,7,,,
NEW50 3 styled,2026-09-03,NEW50_3_12pages_nodate_styled,11,1650,316,19.2,16089,3,0,0.182,без даты,12,,,
archive,2026-09-08,archive37строформленоv2часть2,45,6750,443,6.6,6151,2,1,0.03,,7,оформлено,,часть 2
archive,2026-09-08,archive37строформленоv2часть3,27,4050,202,5.0,3650,2,0,0.049,,7,оформлено,,часть 3
archive,2026-09-08,archive37строформленоv2часть1,25,3750,209,5.6,3123,0,0,0.0,,7,оформлено,,часть 1
archive,2026-09-09,archive37строформленоv2часть2,45,2520,70,2.8,710,0,0,0.0,,7,оформлено,,часть 2
archive,2026-09-09,archive37строформленоv2часть3,27,1512,24,1.6,124,0,0,0.0,,7,оформлено,,часть 3
archive,2026-09-09,archive37строформленоv2часть1,25,1399,44,3.1,1048,1,0,0.071,,7,оформлено,,часть 1
archive,2026-09-10,archive37строформленоv2часть3,18,2700,369,13.7,11922,3,1,0.111,,7,оформлено,,часть 3
archive,2026-09-10,archive37строформленоv2часть1,8,1200,203,16.9,4719,1,0,0.083,,7,оформлено,,часть 1
archive,2026-09-11,archive37строформленоv2часть1,20,2248,145,6.5,4385,0,0,0.0,,7,оформлено,,часть 1
archive,2026-09-11,archive37строформленоv2часть3,18,1008,44,4.4,2965,2,1,0.198,,7,оформлено,,часть 3
archive47 unique119,2026-09-10,archive47_unique119оформленочасть1,40,4496,306,6.8,6922,3,1,0.067,,,оформлено,,часть 1
archive47 unique119,2026-09-10,archive47_unique119оформленочасть2,24,3224,181,5.6,4622,0,0,0.0,,,оформлено,,часть 2
archive47 unique119,2026-09-11,archive47_unique119оформленочасть1,24,1344,41,3.1,943,0,0,0.0,,,оформлено,,часть 1
archive47 unique119,2026-09-11,archive47_unique119оформленочасть2,20,1119,32,2.9,295,0,0,0.0,,,оформлено,,часть 2
content 2026 09 14,2026-09-14,content-2026-09-14-7str-oform-8,18,2599,241,9.3,1122,0,0,0.0,,7,оформлено,,
content 2026 09 14,2026-09-14,content-2026-09-14-12str-oform,16,2400,387,16.1,4603,2,0,0.083,,12,оформлено,,
content 2026 09 14,2026-09-15,content-2026-09-14-7str-oform-9,29,4350,551,12.7,8447,1,1,0.023,,7,оформлено,,
content 2026 09 14,2026-09-15,content-2026-09-14-7str-oform-8,25,2152,184,8.6,2493,0,0,0.0,,7,оформлено,,
content 2026 09 14,2026-09-15,content-2026-09-14-7str-oform-1,9,1350,114,8.4,1226,1,0,0.074,,7,оформлено,,
content 2026 09 14,2026-09-15,content-2026-09-14-12str-oform,16,896,95,10.6,739,0,0,0.0,,12,оформлено,,
content 2026 09 14b,2026-09-17,content-2026-09-14b-7str-oform-1,19,2850,308,10.8,4622,0,0,0.0,,7,оформлено,,
content 2026 09 14b,2026-09-17,content-2026-09-14b-7str-oform-2,17,1986,194,9.8,3507,0,0,0.0,,7,оформление-2,,
content 2026 09 14c,2026-09-15,content-2026-09-14c-7str-oform-2,41,6150,1451,23.6,38488,15,3,0.244,,7,оформление-2,,
content 2026 09 14c,2026-09-15,content-2026-09-14c-7str-oform-1,21,3150,830,26.3,27491,6,0,0.19,,7,оформлено,,
content 2026 09 14c,2026-09-16,content-2026-09-14c-7str-oform-1,45,4776,1031,21.6,28896,3,2,0.063,,7,оформлено,,
content 2026 09 14c,2026-09-16,content-2026-09-14c-7str-oform-2,44,2746,484,17.6,12302,0,0,0.0,,7,оформление-2,,
content 2026 09 15,2026-09-16,content-2026-09-15-7str-oform-2,50,7500,1157,15.4,34102,5,2,0.067,,7,оформление-2,,
content 2026 09 15,2026-09-16,content-2026-09-15-7str-oform-1,8,1200,179,14.9,6749,2,1,0.167,,7,оформлено,,
content 2026 09 15,2026-09-17,content-2026-09-15-7str-oform-1,50,6748,620,9.2,7536,5,1,0.074,,7,оформлено,,
content 2026 09 15,2026-09-17,content-2026-09-15-7str-oform-2,50,2800,211,7.5,3989,0,0,0.0,,7,оформление-2,,
content 2026 09 16,2026-09-17,content-2026-09-16-7str,37,5550,817,14.7,16943,4,1,0.072,,7,,,
content 2026 09 16,2026-09-17,content-2026-09-16-12str,6,900,134,14.9,3604,0,0,0.0,,12,,,
