группа контента,зона,аккаунт,блок часа,баз,сайтов,вышли в поиск,выход %,кликов в окне,регистраций,ФД,рег на 100 сайтов
content-2026-09-14b-7str-oform-1,lol,повторный,06-11,4,600,75,12.5,706,0,0,0.0
content-2026-09-14b-7str-oform-1,lol,повторный,12-17,6,580,44,7.6,2411,0,0,0.0
content-2026-09-14b-7str-oform-1,team,повторный,12-17,4,467,77,16.5,1467,0,0,0.0
content-2026-09-14b-7str-oform-1,lol,повторный,00-05,3,450,38,8.4,750,0,0,0.0
content-2026-09-14b-7str-oform-1,team,повторный,06-11,3,301,10,3.3,62,0,0,0.0
content-2026-09-14b-7str-oform-2,team,повторный,06-11,31,5110,646,12.6,12764,3,1,0.059
content-2026-09-14b-7str-oform-2,team,повторный,12-17,26,2207,351,15.9,5823,1,1,0.045
content-2026-09-14b-7str-oform-2,lol,повторный,06-11,11,1650,234,14.2,4523,0,0,0.0
content-2026-09-14b-7str-oform-2,lol,повторный,12-17,10,748,145,19.4,3321,0,0,0.0
content-2026-09-14b-7str-oform-2,team,повторный,18-23,8,398,61,15.3,1118,0,0,0.0
content-2026-09-14b-7str-oform-2,lol,повторный,00-05,3,168,20,11.9,419,0,0,0.0
content-2026-09-14b-7str-oform-2,lol,повторный,18-23,2,112,27,24.1,2117,0,0,0.0
content-2026-09-14b-7str-oform-2,team,повторный,00-05,2,112,11,9.8,1097,0,0,0.0
content-2026-09-14c-12str-oform,team,повторный,06-11,3,450,155,34.4,9247,2,0,0.444
content-2026-09-14c-12str-oform,team,повторный,12-17,4,318,104,32.7,4955,3,2,0.943
content-2026-09-14c-12str-oform,team,повторный,18-23,1,56,17,30.4,809,1,0,1.786
