баз 1922, сайтов 389498, вышли в поиск 51370 (13.2%)
пулов «пак + день» по пять и больше баз: 122, в них баз 1782

content-2026-09-12-7str-oform · 2026-09-12 · баз 78 · сайтов 16067 · выход3 6.5% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  4839.team          team         202   10.4%      217        52     0
  xdkr.team          team         195    9.7%     1989        45     2
  2328.team          team         202    9.4%      189        52     0
  jmrc.team          team         205    9.3%      591        55     0
  k7ln.team          team         204    8.8%      579        54     0
  gkpw.team          team         206    8.7%      113        56     0
  3405.team          team         204    8.3%       72        54     0
  mqvb.team          team         205    8.3%      277        55     0
  knsd.team          team         205    8.3%      473        55     0
  fjnv.team          team         206    8.3%      152        56     0
  r2km.team          team         203    7.9%      106        53     0
  d4v.team           team         203    7.4%       76        53     0
  5364.team          team         204    7.4%       71        54     0
  b6t.team           team         202    6.9%      117        52     0
  f2mw.team          team         204    6.9%       33        54     1
  b3nq.team          team         204    6.4%       54        54     0
  j4rd.team          team         203    5.9%       23        53     0
  2872.team          team         205    5.9%       64        55     0
  3164.team          team         205    5.4%       76        55     0
  g5pb.team          team         204    4.9%      139        54     0
  w4rz.team          team         202    4.5%      931        52     1
  6820.team          team         202    4.5%       87        52     0
  4213.team          team         203    4.4%       60        53     0
  6473.team          team         204    3.9%      836        54     0
  4586.team          team         204    3.9%       94        54     0
  5273r.cfd          cfd          199    3.0%       31        49     0
  c6vr.team          team         202    3.0%       40        52     0
  h8cz.team          team         204    2.9%       76        54     0
  n6qf.team          team         203    2.5%       16        53     0
  6158.team          team         204    2.5%       28        54     0
  d9tk.team          team         204    2.0%       57        54     0
  p9td.team          team         203    1.5%      254        53     0
  m3wv.team          team         204    1.5%      236        54     0
  3961.team          team         204    1.5%       43        54     0
  i182.xyz           xyz          199    0.0%        3        49     0

content-2026-09-15-7str-oform-2 · 2026-09-16 · баз 50 · сайтов 10300 · выход3 12.9% · рег 5
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  casinosz.lol       lol          206   33.5%     1776        56     2
  3665.lol           lol          206   24.3%      236        56     0
  1274.lol           lol          206   23.3%      158        56     0
  wfcasino.team      team         206   21.4%      197        56     0
  kccasino.team      team         206   21.4%     1459        56     0
  7966.lol           lol          206   20.9%      555        56     0
  qpcasino.lol       lol          206   19.9%      426        56     0
  3152.team          team         206   19.9%      984        56     1
  w7o3.team          team         206   18.4%      146        56     0
  2974.team          team         206   17.5%     2972        56     0
  dsrt.team          team         206   17.5%      555        56     0
  5202.team          team         206   16.5%      401        56     1
  3616.lol           lol          206   16.5%      451        56     0
  b6t.lol            lol          206   16.5%     1767        56     0
  6874.team          team         206   15.5%     2648        56     1
  8648.lol           lol          206   15.0%     3297        56     0
  37casino.lol       lol          206   15.0%      728        56     0
  moqcasino.lol      lol          206   15.0%      465        56     0
  713casino.team     team         206   15.0%      470        56     0
  9825.lol           lol          206   14.1%      141        56     0
  3774.team          team         206   14.1%      220        56     0
  2063.team          team         206   13.6%      319        56     0
  0318.team          team         206   13.6%      211        56     0
  8095.team          team         206   13.1%      160        56     0
  wxvb.team          team         206   13.1%      197        56     0
  499casino.team     team         206   12.6%      265        56     0
  k6r.team           team         206   12.6%      130        56     0
  gvgcasino.team     team         206   12.1%      214        56     0
  y6u3.lol           lol          206   11.7%       49        56     0
  669casino.lol      lol          206   11.7%     2739        56     0
  2473.lol           lol          206   11.2%      241        56     0
  ccrcasino.lol      lol          206   11.2%      477        56     0
  casinoc8.team      team         206   11.2%      107        56     0
  3472.team          team         206   11.2%      251        56     0
  8625.team          team         206   10.7%      194        56     0
  casinoja.team      team         206    9.7%      183        56     0
  nywv.lol           lol          206    9.2%       62        56     0
  0248.lol           lol          206    8.3%      122        56     0
  8723.team          team         206    8.3%       36        56     0
  m9h6.team          team         206    7.8%      274        56     0
  8618.team          team         206    7.3%       70        56     0
  gwrt.team          team         206    6.8%       35        56     0
  8057.team          team         206    5.8%      159        56     0
  74casino.lol       lol          206    5.3%       26        56     0
  6408.team          team         206    4.4%       26        56     0
  casinoy1.team      team         206    3.9%      108        56     0
  casinohy.team      team         206    3.9%       58        56     0
  ozts.lol           lol          206    2.9%       15        56     0
  lmlx.lol           lol          206    1.0%       13        56     0
  casino716.lol      lol          206    0.5%       13        56     0

archive37строформленоv2часть2 · 2026-09-08 · баз 45 · сайтов 9270 · выход3 5.3% · рег 2
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  5413.lol           lol          206   21.8%      591        56     0
  4149.lol           lol          206   19.4%      460        56     0
  xvcasino.buzz      buzz         206   12.6%      520        56     0
  casino86.buzz      buzz         206   12.1%     1996        56     0
  casino61.lol       lol          206   12.1%      326        56     0
  casino61.buzz      buzz         206   11.7%     1132        56     0
  16casino.lol       lol          206   11.2%      995        56     0
  389casino.buzz     buzz         206    9.2%       66        56     0
  7415.buzz          buzz         206    9.2%      251        56     0
  67casino.buzz      buzz         206    8.7%     1050        56     0
