datetime,event,campaign,name,clickid,country,source,referer,user_ip,postback_ip,linked
"2026-09-13 15:15:11",reg,dorgen_engine,Dorgen_engine,d9613b07d8015062,LV,r7.rzbcasino.team,https://yandex.ru/,185.145.245.235,209.38.42.185,yes
"2026-09-13 13:16:59",reg,eva_engine,Eva_engine,e7d15f4076fee8c5,CH,eva.msvcasino.lol,https://yandex.ru/,83.228.207.35,209.38.42.185,yes
"2026-09-13 13:15:09",reg,dorgen_engine,Dorgen_engine,3b485c34daadfed4,FR,leon.1109r.casino,https://yandex.ru/,95.133.247.232,209.38.42.185,yes
"2026-09-13 12:15:07",reg,dorgen_engine,Dorgen_engine,a9bb0023668a267c,FR,fugu.ajjk.casino,https://yandex.ru/,84.75.134.136,209.38.42.185,yes
"2026-09-13 10:20:06",dep,unlim_engine,Unlim_engine,423230e29b9ff000,UA,unlim.y0v.team,https://yandex.ru/,2a0d:3341:bad4:a108:b1a1:be89:8335:d7f1,209.38.42.185,yes
"2026-09-13 10:15:08",reg,dorgen_engine,Dorgen_engine,6b65e7482454c5a2,NL,luckybird.5113.team,https://yandex.ru/,203.188.173.70,209.38.42.185,yes
"2026-09-13 10:15:08",reg,dorgen_engine,Dorgen_engine,f50f926d6a070690,JP,goodwin.5512.team,https://yandex.ru/,31.76.91.148,209.38.42.185,yes
"2026-09-13 10:15:08",reg,dorgen_engine,Dorgen_engine,4214a61f40c066b7,DE,auf.a1f9.lol,https://yandex.ru/,203.23.179.214,209.38.42.185,yes
"2026-09-13 09:15:52",reg,unlim_engine,Unlim_engine,423230e29b9ff000,UA,unlim.y0v.team,https://yandex.ru/,2a0d:3341:bad4:a108:b1a1:be89:8335:d7f1,209.38.42.185,yes
"2026-09-13 09:15:08",reg,dorgen_engine,Dorgen_engine,a58b7189951b1d70,LT,martin.2334.team,https://yandex.ru/,89.124.10.186,209.38.42.185,yes
"2026-09-13 08:15:07",reg,dorgen_engine,Dorgen_engine,4160b368dec0292b,DE,brillx.uyqcasino.team,https://yandex.ru/,2.26.144.11,209.38.42.185,yes
"2026-09-13 05:15:08",reg,dorgen_engine,Dorgen_engine,1c658b0f52ed4e45,DE,arkada.sblv.team,https://yandex.ru/,104.249.45.28,209.38.42.185,yes
"2026-09-13 04:15:08",reg,dorgen_engine,Dorgen_engine,e8548c792ebf0fd4,RU,turbo.casinob3.lol,https://yandex.ru/,90.156.214.137,209.38.42.185,yes
"2026-09-13 02:15:08",reg,dorgen_engine,Dorgen_engine,8baaaa5cdecaf564,TR,luckybird.gjtz.team,https://yandex.ru/,152.233.53.89,209.38.42.185,yes
"2026-09-13 00:21:58",dep,dorgen_engine,Dorgen_engine,20596195d370d372,NL,martin.2334.team,https://yandex.ru/,84.32.176.122,209.38.42.185,yes
"2026-09-13 00:15:09",reg,dorgen_engine,Dorgen_engine,20596195d370d372,NL,martin.2334.team,https://yandex.ru/,84.32.176.122,209.38.42.185,yes
"2026-09-12 23:16:01",dep,dorgen_engine,Dorgen_engine,1175eb8c3d62f267,RU,dragonmoney.bsfg.team,https://yandex.ru/,201.24.119.201,209.38.42.185,yes
